name,location,body_type,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
2017 Maruti Swift VXI,Delhi,Hatchback,2017,25847,Petrol,Manual,2,22.0,1197.0,88.0,5.0,850000.0,561000.0
2016 Maruti Baleno DELTA PETROL 1.2,Gurugram,Hatchback,2016,55511,Petrol,Manual,2,22.3,1197.0,89.0,5.0,900000.0,498000.0
2020 Maruti Swift VXI,Noida,Hatchback,2020,47110,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,577000.0
2022 Maruti Ertiga VXI AT SHVS,Ghaziabad,MPV,2022,35378,Petrol,Automatic,1,20.5,1462.0,103.0,7.0,1150000.0,1084000.0
2019 Maruti Dzire VXI,Faridabad,Sedan,2019,91856,Petrol,Manual,1,23.0,1197.0,89.0,5.0,900000.0,603000.0
2014 Maruti Alto 800 LXI,Delhi,Hatchback,2014,43780,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,233000.0
2020 Maruti Swift VXI,Gurugram,Hatchback,2020,49583,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,593000.0
2018 Maruti Dzire VXI AMT,Noida,Sedan,2018,86837,Petrol,Automatic,2,23.0,1197.0,89.0,5.0,900000.0,583000.0
2016 Maruti Swift Dzire VXI,Ghaziabad,Hatchback,2016,58570,Petrol,Manual,2,22.0,1197.0,88.0,5.0,850000.0,513000.0
2019 Maruti S PRESSO VXI,Faridabad,Other,2019,50645,Petrol,Manual,1,,,,,,378000.0
2016 Maruti Swift ZXI,Delhi,Hatchback,2016,77053,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,526000.0
2023 Maruti Alto K10 VXI PLUS AMT,Gurugram,Hatchback,2023,8023,Petrol,Automatic,1,24.0,998.0,66.0,5.0,600000.0,565000.0
2022 Maruti Alto LXI O,Noida,Hatchback,2022,18317,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,384000.0
2019 Maruti Baleno DELTA PETROL 1.2,Ghaziabad,Hatchback,2019,73984,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,610000.0
2014 Maruti Swift Dzire VXI,Faridabad,Hatchback,2014,65612,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,462000.0
2017 Maruti Swift VXI O,Delhi,Hatchback,2017,81391,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,511000.0
2021 Maruti Celerio ZXI PLUS AGS,Gurugram,Hatchback,2021,3760,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,650000.0
2017 Maruti Dzire ZXI PLUS AMT,Noida,Sedan,2017,72891,Petrol,Automatic,2,23.0,1197.0,89.0,5.0,900000.0,616000.0
2023 Maruti Celerio ZXI,Ghaziabad,Hatchback,2023,10006,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,588000.0
2014 Maruti Alto 800 LXI,Faridabad,Hatchback,2014,57290,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,244000.0
2018 Maruti IGNIS ALPHA 1.2,Delhi,Hatchback,2018,35090,Petrol,Manual,1,20.9,1197.0,82.0,5.0,800000.0,533000.0
2021 Maruti S PRESSO VXI+,Gurugram,Other,2021,45232,Petrol,Manual,1,,,,,,436000.0
2018 Maruti Celerio VXI (O),Noida,Hatchback,2018,37192,Petrol,Manual,2,25.0,998.0,66.0,5.0,700000.0,408000.0
2023 Maruti Alto K10 VXI PLUS AMT,Ghaziabad,Hatchback,2023,15262,Petrol,Automatic,1,24.0,998.0,66.0,5.0,600000.0,565000.0
2020 Maruti Alto VXI,Faridabad,Hatchback,2020,32285,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,360000.0
2018 Maruti Baleno ZETA PETROL 1.2,Delhi,Hatchback,2018,60017,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,617000.0
2014 Maruti Wagon R Stingray VXI,Gurugram,Hatchback,2014,76934,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,333000.0
2022 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Noida,Sedan,2022,16453,Petrol,Manual,1,20.0,1462.0,103.0,5.0,1100000.0,897000.0
2017 Maruti Celerio ZXI AMT,Ghaziabad,Hatchback,2017,72304,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,449000.0
2017 Maruti Celerio ZXI (O),Faridabad,Hatchback,2017,76079,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,447000.0
